priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative,pubchem_cid,pubchem_title,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,pubchem_status,compound_classification,classification_reason,regulatory_status,regulatory_source,regulatory_verification_date,has_pubchem_identity,has_structure,multi_signature_negative,strong_cmap_support,downstream_status
8,2,Tier 2 — Consistent reversal,4,BRD-K98372770,L-2167,-4.334038,-95.151430,-85.649376,3,3,1,-61.711615,-85.649376,-95.151430,-90.000000,8,True,False,True,True,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,True,MANUAL_IDENTITY_REVIEW
26,2,Tier 2 — Consistent reversal,3,BRD-K23875128,RHO-kinase-inhibitor-III[rockout],-39.115660,-75.695680,-82.661640,3,3,0,-65.824327,-75.695680,-82.661640,-90.000000,36,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
49,2,Tier 2 — Consistent reversal,3,BRD-K40213712,SAL-1,-3.888400,-63.043133,-60.775375,3,3,0,-42.568969,-60.775375,-63.043133,-90.000000,59,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
109,2,Tier 2 — Consistent reversal,3,BRD-A82096673,KU-C103428N,-36.451416,-48.500320,-45.783127,3,3,0,-43.578288,-45.783127,-48.500320,-90.000000,119,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
118,2,Tier 2 — Consistent reversal,3,BRD-K32584078,BML-257,-3.946441,-43.091830,-43.417810,3,3,0,-30.152027,-43.091830,-43.417810,-90.000000,128,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
148,2,Tier 2 — Consistent reversal,3,BRD-K96134740,kitasamycin,-13.241172,-64.564070,-36.098610,3,3,0,-37.967951,-36.098610,-64.564070,-90.000000,158,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
155,2,Tier 2 — Consistent reversal,3,BRD-K07888196,tyrphostin-AG-538,-23.730103,-34.374477,-58.618176,3,3,0,-38.907585,-34.374477,-58.618176,-90.000000,165,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
192,2,Tier 2 — Consistent reversal,3,BRD-A48570745,ivermectin,-29.961630,-28.742260,-28.262648,3,3,0,-28.988846,-28.742260,-29.961630,-90.000000,202,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
255,2,Tier 2 — Consistent reversal,3,BRD-K35377380,I-OMe-AG-538,-20.671190,-3.235872,-28.822933,3,3,0,-17.576665,-20.671190,-28.822933,-90.000000,265,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
271,2,Tier 2 — Consistent reversal,3,BRD-K61737877,VEGF-receptor-2-kinase-inhibitor-IV,-41.095596,-19.329592,-15.621565,3,3,0,-25.348918,-19.329592,-41.095596,-90.000000,281,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
277,2,Tier 2 — Consistent reversal,3,BRD-A20239487,atenolol-(+/-),-18.498348,-9.315193,-19.777353,3,3,0,-15.863631,-18.498348,-19.777353,-90.000000,287,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
281,2,Tier 2 — Consistent reversal,3,BRD-K24538644,KU-C104502N,-45.365192,-12.755462,-18.196653,3,3,0,-25.439102,-18.196653,-45.365192,-90.000000,291,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
298,2,Tier 2 — Consistent reversal,3,BRD-K16977723,PP-3,-16.185818,-17.984653,-6.344736,3,3,0,-13.505069,-16.185818,-17.984653,-90.000000,308,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
328,2,Tier 2 — Consistent reversal,3,BRD-K68341547,W-9,-0.986610,-13.177183,-48.258358,3,3,0,-20.807384,-13.177183,-48.258358,-90.000000,338,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
338,2,Tier 2 — Consistent reversal,3,BRD-K04010869,prostaglandin-a1,-1.127555,-12.389999,-28.559423,3,3,0,-14.025659,-12.389999,-28.559423,-90.000000,348,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
342,2,Tier 2 — Consistent reversal,3,BRD-K22828899,TUL-XXI039,-9.114861,-23.666769,-11.903160,3,3,0,-14.894930,-11.903160,-23.666769,-90.000000,352,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
383,2,Tier 2 — Consistent reversal,3,BRD-K18678457,ZD-7288,-9.230704,-21.758482,-2.114165,3,3,0,-11.034450,-9.230704,-21.758482,-90.000000,393,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
384,2,Tier 2 — Consistent reversal,3,BRD-K09635134,L-erythro-MAPP,-1.624795,-18.328423,-9.127342,3,3,0,-9.693520,-9.127342,-18.328423,-90.000000,394,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
411,2,Tier 2 — Consistent reversal,3,BRD-K92138166,mammea-a,-6.694583,-0.775194,-18.354614,3,3,0,-8.608130,-6.694583,-18.354614,-90.000000,421,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
441,2,Tier 2 — Consistent reversal,3,BRD-K16554956,PTB1,-0.951374,-3.855321,-17.302746,3,3,0,-7.369814,-3.855321,-17.302746,-90.000000,451,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
444,2,Tier 2 — Consistent reversal,3,BRD-K11540476,EMF-BCA1-64,-0.775194,-15.317196,-3.558844,3,3,0,-6.550411,-3.558844,-15.317196,-90.000000,454,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
491,2,Tier 2 — Consistent reversal,3,BRD-K01192156,tyrphostin-AG-112,-72.906950,-0.986610,-0.970951,3,3,0,-24.954837,-0.986610,-72.906950,-90.000000,501,True,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
521,3,Tier 3 — Partial reversal,2,BRD-K47328134,lysylphenylalanyl-tyrosine,0.000000,-88.278960,-79.226550,3,2,0,-55.835170,-79.226550,-88.278960,-90.000000,521,False,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
523,3,Tier 3 — Partial reversal,2,BRD-A14985772,L-ascorbyl-6-palmitate,0.000000,-77.968750,-83.937530,3,2,0,-53.968760,-77.968750,-83.937530,-90.000000,523,False,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
527,3,Tier 3 — Partial reversal,2,BRD-K55991774,BAS-09104376,0.000000,-75.299180,-76.458496,3,2,0,-50.585892,-75.299180,-76.458496,-90.000000,527,False,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
528,3,Tier 3 — Partial reversal,2,BRD-K94070024,depomedrol,0.000000,-74.272580,-88.007034,3,2,0,-54.093205,-74.272580,-88.007034,-90.000000,528,False,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
599,3,Tier 3 — Partial reversal,2,BRD-K17349619,HLI-373,1.550388,-45.576640,-59.431763,3,2,0,-34.486005,-45.576640,-59.431763,-90.000000,599,False,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
622,3,Tier 3 — Partial reversal,2,BRD-K00317371,RITA,0.000000,-45.818420,-41.050040,3,2,0,-28.956153,-41.050040,-45.818420,-90.000000,622,False,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
627,3,Tier 3 — Partial reversal,2,BRD-K02715688,"hydrastine-(1r,-9s)",0.000000,-40.054710,-42.078842,3,2,0,-27.377851,-40.054710,-42.078842,-90.000000,627,False,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
631,3,Tier 3 — Partial reversal,2,BRD-K97330509,SRC-kinase-inhibitor-II,0.000000,-49.818542,-38.740005,3,2,0,-29.519516,-38.740005,-49.818542,-90.000000,631,False,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
689,3,Tier 3 — Partial reversal,2,BRD-K75181824,acetyl-geranygeranyl-cysteine,0.000000,-29.757202,-49.917940,3,2,0,-26.558381,-29.757202,-49.917940,-90.000000,689,False,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
716,3,Tier 3 — Partial reversal,2,BRD-A71009679,KU-C103420N,0.000000,-55.458280,-25.512250,3,2,0,-26.990177,-25.512250,-55.458280,-90.000000,716,False,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
725,3,Tier 3 — Partial reversal,2,BRD-A33833419,TER-14687,2.043693,-38.197998,-24.588995,3,2,0,-20.247767,-24.588995,-38.197998,-90.000000,725,False,False,True,False,True,False,,,,,,,,,not_found,manual_identity_review,No confident PubChem identity was found from the CMap perturbagen name.,NOT_VERIFIED,,,False,False,True,False,MANUAL_IDENTITY_REVIEW
