query,signature_id,pert_id,pert_iname,pert_type,cell_id,pert_idose,pert_itime,is_touchstone,is_exemplar,connectivity
ATLAS_SIG_B_TOP100,CPC004_PC3_6H:BRD-A09094913-001-03-1:10,BRD-A09094913,strychnine,trt_cp,PC3,10 �M,6 h,1,1,0.3052491
ATLAS_SIG_B_TOP100,CPC004_PC3_6H:BRD-A55393291-001-05-7:10,BRD-A55393291,testosterone,trt_cp,PC3,10 �M,6 h,1,1,-0.2668724
ATLAS_SIG_B_TOP100,CPC004_PC3_6H:BRD-A93255169-001-13-5:10,BRD-A93255169,thalidomide,trt_cp,PC3,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC004_PC3_6H:BRD-K41731458-001-04-5:10,BRD-K41731458,triclosan,trt_cp,PC3,10 �M,6 h,1,0,0.2498754
ATLAS_SIG_B_TOP100,CPC004_PC3_6H:BRD-K63675182-003-14-5:10,BRD-K63675182,triflupromazine,trt_cp,PC3,10 �M,6 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC004_PC3_6H:BRD-A19195498-050-09-1:10,BRD-A19195498,trimipramine,trt_cp,PC3,10 �M,6 h,1,0,-0.27245134
ATLAS_SIG_B_TOP100,CPC004_PC3_6H:BRD-K99621550-003-03-4:10,BRD-K99621550,tubocurarine,trt_cp,PC3,10 �M,6 h,1,0,0.28987473
ATLAS_SIG_B_TOP100,CPC004_PC3_6H:BRD-A51714012-001-03-1:10,BRD-A51714012,venlafaxine,trt_cp,PC3,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC004_PC3_6H:BRD-K45117373-001-01-1:10,BRD-K45117373,Y-26763,trt_cp,PC3,10 �M,6 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K42095107-001-08-0:10,BRD-K42095107,daidzein,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K61269089-001-02-2:10,BRD-K61269089,daphnetin,trt_cp,VCAP,10 �M,6 h,1,0,0.26571602
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A47494775-003-03-0:10,BRD-A47494775,dipivefrine,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A18620900-001-04-5:10,BRD-A18620900,estriol,trt_cp,VCAP,10 �M,6 h,1,0,-0.3393007
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A02367930-001-03-7:10,BRD-A02367930,ethinyl-estradiol,trt_cp,VCAP,10 �M,6 h,1,0,0.2979269
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A61392169-001-01-9:10,BRD-A61392169,eliprodil,trt_cp,VCAP,10 �M,6 h,1,0,0.28615803
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A30205217-001-03-9:10,BRD-A30205217,ethotoin,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A09925278-003-03-1:10,BRD-A09925278,etilefrine,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A18419789-001-01-4:10,BRD-A18419789,etoposide,trt_cp,VCAP,10 �M,6 h,1,0,-0.24856019
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K61951118-001-02-0:10,BRD-K61951118,FG-7142,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A13133631-001-03-2:10,BRD-A13133631,fluorometholone,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K11129031-001-15-0:10,BRD-K11129031,gemfibrozil,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K26117720-001-02-2:10,BRD-K26117720,gingerol,trt_cp,VCAP,10 �M,6 h,1,0,0.26829952
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A73859745-236-01-8:10,BRD-A73859745,glycodeoxycholic-acid,trt_cp,VCAP,10 �M,6 h,1,0,-0.28104082
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A09539288-004-03-6:10,BRD-A09539288,homatropine,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A78303415-001-03-5:10,BRD-A78303415,hyoscyamine,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A63998256-001-02-3:10,BRD-A63998256,helveticoside,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A47065382-001-02-9:10,BRD-A47065382,huperzine-a,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A98299281-050-04-7:10,BRD-A98299281,"hydroxytacrine-maleate-(r,s)",trt_cp,VCAP,10 �M,6 h,1,0,-0.45587912
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A37776212-003-02-5:10,BRD-A37776212,ICI-204448,trt_cp,VCAP,10 �M,6 h,1,0,-0.37146616
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K38436528-003-15-4:10,BRD-K38436528,imipramine,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A95869247-001-14-5:10,BRD-A95869247,indapamide,trt_cp,VCAP,10 �M,6 h,1,0,0.26936007
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K86509404-001-03-8:10,BRD-K86509404,iso-olomoucine,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A52326238-001-02-3:10,BRD-A52326238,isogedunin,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A16700644-003-03-6:10,BRD-A16700644,isoxsuprine,trt_cp,VCAP,10 �M,6 h,1,1,-0.27631092
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K13211965-003-01-0:10,BRD-K13211965,L-741742,trt_cp,VCAP,10 �M,6 h,1,0,-0.26419738
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A68039575-001-02-5:10,BRD-A68039575,liquiritigenin,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K88789588-001-03-2:10,BRD-K88789588,letrozole,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A50764878-003-01-0:10,BRD-A50764878,MDL-73005EF,trt_cp,VCAP,10 �M,6 h,1,0,0.24705216
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K02867583-300-06-3:10,BRD-K02867583,minaprine,trt_cp,VCAP,10 �M,6 h,1,0,-0.20875797
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A30435184-001-01-5:10,BRD-A30435184,metergoline,trt_cp,VCAP,10 �M,6 h,1,0,0.28741533
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A45543382-001-02-7:10,BRD-A45543382,metrizamide,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A65280694-003-03-8:10,BRD-A65280694,molindone,trt_cp,VCAP,10 �M,6 h,1,0,-0.30464
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K21548250-003-03-5:10,BRD-K21548250,moracizine,trt_cp,VCAP,10 �M,6 h,1,0,0.23246185
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K62056274-313-01-8:10,BRD-K62056274,N-methylquipazine,trt_cp,VCAP,10 �M,6 h,1,0,-0.19980967
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K41143549-003-01-6:10,BRD-K41143549,N20C,trt_cp,VCAP,10 �M,6 h,1,0,-0.34199095
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K26979635-001-01-1:10,BRD-K26979635,NS-3694,trt_cp,VCAP,10 �M,6 h,1,0,-0.35354602
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A80213327-305-01-8:10,BRD-A80213327,NSC-23766,trt_cp,VCAP,10 �M,6 h,1,0,0.29138154
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K88172511-310-03-8:10,BRD-K88172511,naltrexone,trt_cp,VCAP,10 �M,6 h,1,0,-0.24812174
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A19736161-003-03-0:10,BRD-A19736161,ondansetron,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K50841342-001-01-6:10,BRD-K50841342,PAC-1,trt_cp,VCAP,10 �M,6 h,1,0,0.30283555
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A70407468-001-01-2:10,BRD-A70407468,PSB-36,trt_cp,VCAP,10 �M,6 h,1,0,0.35061342
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A59303141-001-03-9:10,BRD-A59303141,quinethazone,trt_cp,VCAP,10 �M,6 h,1,0,0.28337914
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K86600316-003-01-2:10,BRD-K86600316,RS-79948,trt_cp,VCAP,10 �M,6 h,1,0,-0.21890652
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A92585442-237-01-0:10,BRD-A92585442,RU-28318,trt_cp,VCAP,10 �M,6 h,1,0,0.28821027
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A65739223-001-03-7:10,BRD-A65739223,ramipril,trt_cp,VCAP,10 �M,6 h,1,0,-0.23844728
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K27141178-003-02-4:10,BRD-K27141178,SB-203186,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K55748775-001-01-4:10,BRD-K55748775,SCH-28080,trt_cp,VCAP,10 �M,6 h,1,0,0.24489255
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A91992993-001-01-2:10,BRD-A91992993,siguazodan,trt_cp,VCAP,10 �M,6 h,1,0,0.27989578
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K46211610-003-15-0:10,BRD-K46211610,tolazoline,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A30717181-001-03-5:10,BRD-A30717181,triamcinolone,trt_cp,VCAP,10 �M,6 h,1,0,0.18517861
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K11742128-003-15-0:10,BRD-K11742128,triprolidine,trt_cp,VCAP,10 �M,6 h,1,0,0.22083333
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A79672927-001-10-8:10,BRD-A79672927,tropicamide,trt_cp,VCAP,10 �M,6 h,1,0,-0.28405985
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K48427617-001-01-7:10,BRD-K48427617,U-0124,trt_cp,VCAP,10 �M,6 h,1,0,-0.21945278
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K47207162-312-02-2:10,BRD-K47207162,zimelidine,trt_cp,VCAP,10 �M,6 h,1,0,0.2327152
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A47513740-001-02-5:10,BRD-A47513740,calyculin,trt_cp,VCAP,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K56231354-003-01-5:10,BRD-K56231354,triprolidine,trt_cp,VCAP,10 �M,6 h,1,0,-0.28147912
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K89732114-300-05-5:10,BRD-K89732114,trifluoperazine,trt_cp,VCAP,10 �M,6 h,1,0,0.3582791
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A18763547-300-04-8:10,BRD-A18763547,BAX-channel-blocker,trt_cp,A375,10 �M,24 h,1,0,0.29786062
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A83255679-001-07-2:20,BRD-A83255679,BRD-A83255679,trt_cp,A375,20 �M,24 h,1,0,0.22727102
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K00317371-001-02-0:10,BRD-K00317371,RITA,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K06593056-001-02-2:20,BRD-K06593056,LE-135,trt_cp,A375,20 �M,24 h,1,0,-0.30635637
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K12184916-001-03-0:0.63,BRD-K12184916,NVP-BEZ235,trt_cp,A375,500 nM,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K15318909-001-04-8:44.4,BRD-K15318909,PRIMA1,trt_cp,A375,40 �M,24 h,1,0,-0.24374127
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K15563106-001-08-1:177.6,BRD-K15563106,phloretin,trt_cp,A375,100 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K19295594-001-08-5:11.1,BRD-K19295594,gossypol,trt_cp,A375,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K20755323-001-02-6:40,BRD-K20755323,SKI-II,trt_cp,A375,40 �M,24 h,1,0,0.32735622
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K26664453-001-03-4:10,BRD-K26664453,cytochalasin-b,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K32536677-001-01-0:10,BRD-K32536677,AGK-2,trt_cp,A375,10 �M,24 h,1,1,-0.33277118
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K36927236-001-17-7:10,BRD-K36927236,glibenclamide,trt_cp,A375,10 �M,24 h,1,1,-0.35259923
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K53414658-001-01-7:10,BRD-K53414658,tivozanib,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K54256913-001-01-2:10,BRD-K54256913,MK-1775,trt_cp,A375,10 �M,24 h,1,1,0.19721821
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K68143200-001-05-9:10,BRD-K68143200,NSC-95397,trt_cp,A375,10 �M,24 h,1,1,0.36548147
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K93176058-001-02-8:10,BRD-K93176058,AC-55649,trt_cp,A375,10 �M,24 h,1,1,0.20796059
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K94325918-001-03-8:10,BRD-K94325918,kinetin-riboside,trt_cp,A375,10 �M,24 h,1,1,-0.40575796
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K95609758-001-02-9:10,BRD-K95609758,BMS-191011,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K96354014-001-09-6:10,BRD-K96354014,nifedipine,trt_cp,A375,10 �M,24 h,1,1,-0.36124817
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K30064966-001-01-5:11.1,BRD-K30064966,BRD-K30064966,trt_cp,A375,10 �M,24 h,1,0,-0.26618585
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A31107743-001-01-3:0.09,BRD-A31107743,brefeldin-a,trt_cp,A375,100 nM,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K56301217-001-01-7:11.1,BRD-K56301217,ABT-737,trt_cp,A375,10 �M,24 h,1,1,0.24890055
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K82746043-001-03-7:10,BRD-K82746043,navitoclax,trt_cp,A375,10 �M,24 h,1,1,0.17665923
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A67373739-001-01-4:10,BRD-A67373739,AICA-ribonucleotide,trt_cp,A375,10 �M,24 h,1,1,-0.26667082
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K52836380-001-01-7:22.2,BRD-K52836380,AZD-7545,trt_cp,A375,20 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K88510285-001-01-2:0.04,BRD-K88510285,bortezomib,trt_cp,A375,10 nM,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K47983010-001-02-1:10,BRD-K47983010,BX-795,trt_cp,A375,10 �M,24 h,1,1,0.21055903
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K88544581-001-03-8:80,BRD-K88544581,CI-976,trt_cp,A375,80 �M,24 h,1,0,-0.20324317
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K05653692-003-04-7:64,BRD-K05653692,DL-PDMP,trt_cp,A375,60 �M,24 h,1,0,0.2772178
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K01976263-003-04-5:0.63,BRD-K01976263,emetine,trt_cp,A375,500 nM,24 h,1,0,0.17140156
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A68631409-001-01-3:10,BRD-A68631409,evodiamine,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K09778810-001-03-1:10,BRD-K09778810,FGIN-1-27,trt_cp,A375,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K85606544-001-01-8:10,BRD-K85606544,neratinib,trt_cp,A375,10 �M,24 h,1,0,0.2773199
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K33583600-001-09-6:10,BRD-K33583600,isoliquiritigenin,trt_cp,A375,10 �M,24 h,1,1,0.43325496
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K67566344-001-01-8:10,BRD-K67566344,KU-0063794,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K37865504-001-02-5:10,BRD-K37865504,LY-2183240,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K39503511-001-02-1:80,BRD-K39503511,quiflapon,trt_cp,A375,80 �M,24 h,1,0,0.21894479
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K35960502-001-10-1:10,BRD-K35960502,niclosamide,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K48692744-001-01-2:10,BRD-K48692744,NU-1025,trt_cp,A375,10 �M,24 h,1,1,-0.2863471
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K08589866-001-01-0:10,BRD-K08589866,linsitinib,trt_cp,A375,10 �M,24 h,1,1,-0.30229527
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K92991072-001-02-3:10,BRD-K92991072,PAC-1,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K00766422-001-01-9:80,BRD-K00766422,sparfosic-acid,trt_cp,A375,80 �M,24 h,1,0,0.30475837
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K83213911-001-02-8:80,BRD-K83213911,PF-750,trt_cp,A375,80 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K11853856-003-01-3:10,BRD-K11853856,PJ-34,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K16554956-001-01-5:10,BRD-K16554956,PTB1,trt_cp,A375,10 �M,24 h,1,1,-0.27505141
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A56592690-001-01-9:30,BRD-A56592690,PX-12,trt_cp,A375,30 �M,24 h,1,0,0.28985953
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K02407574-001-04-8:0.31,BRD-K02407574,parbendazole,trt_cp,A375,500 nM,24 h,1,0,0.2964253
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K98548675-001-02-6:10,BRD-K98548675,parthenolide,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K01292756-001-10-2:10,BRD-K01292756,pimozide,trt_cp,A375,10 �M,24 h,1,1,0.31086987
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A45889380-300-04-8:10,BRD-A45889380,mepacrine,trt_cp,A375,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K21672174-001-02-2:160,BRD-K21672174,Ro-28-1675,trt_cp,A375,100 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A97437073-001-03-1:80,BRD-A97437073,rosiglitazone,trt_cp,A375,80 �M,24 h,1,0,-0.30892974
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K03816923-001-04-7:9.68,BRD-K03816923,rottlerin,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K53855319-001-01-2:11.1,BRD-K53855319,SRT-1720,trt_cp,A375,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A67788537-001-01-7:120,BRD-A67788537,salermide,trt_cp,A375,100 �M,24 h,1,0,-0.20637122
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A35588707-001-03-0:1.25,BRD-A35588707,teniposide,trt_cp,A375,1 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K51575138-001-01-7:10,BRD-K51575138,TPCA-1,trt_cp,A375,10 �M,24 h,1,1,-0.29651594
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K00088062-001-02-1:40,BRD-K00088062,cyanoquinoline-11,trt_cp,A375,40 �M,24 h,1,0,-0.20831671
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K80527266-001-01-7:10,BRD-K80527266,triacsin-c,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K74236984-001-01-4:10,BRD-K74236984,UNC-0321,trt_cp,A375,10 �M,24 h,1,1,-0.33966658
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K87947369-001-01-6:10,BRD-K87947369,tozasertib,trt_cp,A375,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K12994359-001-07-7:177.6,BRD-K12994359,valdecoxib,trt_cp,A375,100 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K71799949-001-20-8:96,BRD-K71799949,carbamazepine,trt_cp,A375,100 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A85860691-001-02-2:0.08,BRD-A85860691,chaetocin,trt_cp,A375,100 nM,24 h,1,0,0.26151335
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A38030642-001-02-0:10,BRD-A38030642,cyclosporin-a,trt_cp,A375,10 �M,24 h,1,1,-0.35753596
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K35723520-001-01-0:10,BRD-K35723520,darinaparsin,trt_cp,A375,10 �M,24 h,1,1,-0.27241012
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K82135108-001-01-9:10,BRD-K82135108,elesclomol,trt_cp,A375,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-K14888893-001-05-6:10,BRD-K14888893,minoxidil,trt_cp,A375,10 �M,24 h,1,1,-0.3018085
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A75517195-001-01-3:40,BRD-A75517195,thiazolopyrimidine,trt_cp,A375,40 �M,24 h,1,0,-0.31188387
ATLAS_SIG_B_TOP100,CPC006_A375_24H:BRD-A75409952:10,BRD-A75409952,wortmannin,trt_cp,A375,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_6H:BRD-A81541225-001-02-7:10,BRD-A81541225,oligomycin-a,trt_cp,A375,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A375_6H:BRD-K81418486:10,BRD-K81418486,vorinostat,trt_cp,A375,10 �M,6 h,1,0,0.3312355
ATLAS_SIG_B_TOP100,CPC006_A549_24H:BRD-K61033289-001-01-2:10,BRD-K61033289,15-delta-prostaglandin-j2,trt_cp,A549,10 �M,24 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A549_24H:BRD-K01868942-001-02-1:160,BRD-K01868942,RS-23597-190,trt_cp,A549,100 �M,24 h,1,0,0.24568959
ATLAS_SIG_B_TOP100,CPC006_A549_24H:BRD-K88560311-011-02-2:10,BRD-K88560311,rucaparib,trt_cp,A549,10 �M,24 h,1,1,-0.25188273
ATLAS_SIG_B_TOP100,CPC006_A549_24H:BRD-K08703257-001-06-3:36.72,BRD-K08703257,3-amino-benzamide,trt_cp,A549,40 �M,24 h,1,0,0.36102054
ATLAS_SIG_B_TOP100,CPC006_A549_24H:BRD-K53792571-001-02-8:80,BRD-K53792571,inhibitor-BEC,trt_cp,A549,80 �M,24 h,1,0,0.23686314
ATLAS_SIG_B_TOP100,CPC006_A549_24H:BRD-K09907482-001-02-5:40,BRD-K09907482,PRL-3-inhibitor-I,trt_cp,A549,40 �M,24 h,1,0,-0.32923245
ATLAS_SIG_B_TOP100,CPC006_A549_24H:BRD-K01292756-001-10-2:10,BRD-K01292756,pimozide,trt_cp,A549,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A549_24H:BRD-K89391146-001-02-3:80,BRD-K89391146,RG-108,trt_cp,A549,80 �M,24 h,1,0,-0.21527633
ATLAS_SIG_B_TOP100,CPC006_A549_24H:BRD-K59184148-001-04-2:10,BRD-K59184148,SB-216763,trt_cp,A549,10 �M,24 h,1,1,0.0
ATLAS_SIG_B_TOP100,CPC006_A549_6H:BRD-K19216856-001-02-7:88.8,BRD-K19216856,epigallocatechin,trt_cp,A549,90 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A549_6H:BRD-K00317371-001-02-0:10,BRD-K00317371,RITA,trt_cp,A549,10 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A549_6H:BRD-K12762134-001-01-3:11.1,BRD-K12762134,XAV-939,trt_cp,A549,10 �M,6 h,1,0,0.34771252
ATLAS_SIG_B_TOP100,CPC006_A549_6H:BRD-K26657438-001-01-2:10,BRD-K26657438,imiquimod,trt_cp,A549,10 �M,6 h,1,0,0.25834453
ATLAS_SIG_B_TOP100,CPC006_A549_6H:BRD-K52075040-001-03-0:44.4,BRD-K52075040,cerulenin,trt_cp,A549,40 �M,6 h,1,0,0.0
ATLAS_SIG_B_TOP100,CPC006_A549_6H:BRD-K93754473-001-06-0:28.39,BRD-K93754473,tamoxifen,trt_cp,A549,30 �M,6 h,1,0,0.2883716
