query,signature_id,pert_id,pert_iname,pert_type,cell_id,pert_idose,pert_itime,is_touchstone,is_exemplar,connectivity
ATLAS_SIG_B_TOP100,HOG003_MCF7_24H:BRD-A73680854-001-01-3:0.0412,BRD-A73680854,PT-630,trt_cp,MCF7,10 nM,24 h,1,0,-0.5202585
ATLAS_SIG_B_TOP100,CPC001_VCAP_6H:BRD-K27871032-001-04-2:10,BRD-K27871032,lysergol,trt_cp,VCAP,10 �M,6 h,1,1,-0.5028757
ATLAS_SIG_B_TOP100,HDAC002_MCF7_24H:BRD-K88742110-001-01-2:0.078125,BRD-K88742110,PCI-34051,trt_cp,MCF7,100 nM,24 h,1,0,-0.4860838
ATLAS_SIG_B_TOP100,CPC014_PC3_24H:BRD-A96799240-001-01-7:10,BRD-A96799240,4-hydroxyretinoic-acid,trt_cp,PC3,10 �M,24 h,1,0,-0.47815692
ATLAS_SIG_B_TOP100,CPC002_PC3_6H:BRD-K97440753-066-03-3:10,BRD-K97440753,dihydroergocristine,trt_cp,PC3,10 �M,6 h,1,0,-0.47641116
ATLAS_SIG_B_TOP100,CPC003_VCAP_24H:BRD-K63504947-001-05-5:10,BRD-K63504947,semaxanib,trt_cp,VCAP,10 �M,24 h,1,0,-0.4742336
ATLAS_SIG_B_TOP100,CPD001_MCF7_6H:BRD-K55044200-001-09-6:10,BRD-K55044200,amoxicillin,trt_cp,MCF7,10 �M,6 h,1,0,-0.47216812
ATLAS_SIG_B_TOP100,CPC017_A549_24H:BRD-K46142322-003-01-6:10,BRD-K46142322,RS-67333,trt_cp,A549,10 �M,24 h,1,0,-0.47135854
ATLAS_SIG_B_TOP100,CPC020_PC3_24H:BRD-K67511046-003-11-0:10,BRD-K67511046,naloxone,trt_cp,PC3,10 �M,24 h,1,0,-0.46851033
ATLAS_SIG_B_TOP100,CPC020_MCF7_6H:BRD-K66788707-001-07-7:10,BRD-K66788707,fludarabine,trt_cp,MCF7,10 �M,6 h,1,0,-0.46784842
ATLAS_SIG_B_TOP100,CPC002_HA1E_6H:BRD-K78959463-001-05-8:10,BRD-K78959463,FPL-64176,trt_cp,HA1E,10 �M,6 h,1,0,-0.46365154
ATLAS_SIG_B_TOP100,CPC004_PC3_24H:BRD-A90490067-001-01-9:10,BRD-A90490067,fulvestrant,trt_cp,PC3,10 �M,24 h,1,0,-0.46315756
ATLAS_SIG_B_TOP100,CPC020_VCAP_24H:BRD-A09472452-015-19-2:10,BRD-A09472452,flecainide,trt_cp,VCAP,10 �M,24 h,1,0,-0.46284658
ATLAS_SIG_B_TOP100,HOG003_MCF7_6H:BRD-A73680854-001-01-3:0.1234,BRD-A73680854,PT-630,trt_cp,MCF7,100 nM,6 h,1,0,-0.46214128
ATLAS_SIG_B_TOP100,CPC009_VCAP_24H:BRD-A57457122-001-01-2:10,BRD-A57457122,VU-0400071-3,trt_cp,VCAP,10 �M,24 h,1,0,-0.4586764
ATLAS_SIG_B_TOP100,CPC014_A375_6H:BRD-K56343971-001-01-5:10,BRD-K56343971,vemurafenib,trt_cp,A375,10 �M,6 h,1,0,-0.4580104
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-A98299281-050-04-7:10,BRD-A98299281,"hydroxytacrine-maleate-(r,s)",trt_cp,VCAP,10 �M,6 h,1,0,-0.45587912
ATLAS_SIG_B_TOP100,CPC002_HA1E_6H:BRD-K52620403-015-02-6:10,BRD-K52620403,STO-609,trt_cp,HA1E,10 �M,6 h,1,1,-0.45407924
ATLAS_SIG_B_TOP100,CPC016_A549_24H:BRD-K85383046-001-02-5:10,BRD-K85383046,IAA-94,trt_cp,A549,10 �M,24 h,1,0,-0.45184797
ATLAS_SIG_B_TOP100,CPC017_A549_6H:BRD-K67261995-001-03-4:10,BRD-K67261995,adipiodone,trt_cp,A549,10 �M,6 h,1,1,-0.45182723
ATLAS_SIG_B_TOP100,CPC002_HA1E_6H:BRD-K80778372-001-01-7:10,BRD-K80778372,Ro-19-4605,trt_cp,HA1E,10 �M,6 h,1,1,-0.44942117
ATLAS_SIG_B_TOP100,CPC005_HA1E_24H:BRD-A02713983-001-02-0:10,BRD-A02713983,dihydrodeoxygedunin,trt_cp,HA1E,10 �M,24 h,1,1,-0.44856265
ATLAS_SIG_B_TOP100,CPC006_A375_6H:BRD-K88544581-001-03-8:80,BRD-K88544581,CI-976,trt_cp,A375,80 �M,6 h,1,0,-0.4477026
ATLAS_SIG_B_TOP100,CPC005_VCAP_24H:BRD-K55344148-003-01-8:10,BRD-K55344148,BU-224,trt_cp,VCAP,10 �M,24 h,1,1,-0.44746482
ATLAS_SIG_B_TOP100,CPC011_HA1E_6H:BRD-K40758068-001-06-6:10,BRD-K40758068,efavirenz,trt_cp,HA1E,10 �M,6 h,1,1,-0.44624886
ATLAS_SIG_B_TOP100,CPC014_MCF7_24H:BRD-K89014967-001-01-9:10,BRD-K89014967,AS-703026,trt_cp,MCF7,10 �M,24 h,1,0,-0.44570982
ATLAS_SIG_B_TOP100,CPC005_VCAP_6H:BRD-K47192521-001-02-1:10,BRD-K47192521,icosapent,trt_cp,VCAP,10 �M,6 h,1,0,-0.44424248
ATLAS_SIG_B_TOP100,CPC011_A549_24H:BRD-K33425534-001-06-7:10,BRD-K33425534,exemestane,trt_cp,A549,10 �M,24 h,1,0,-0.44223306
ATLAS_SIG_B_TOP100,CPC011_VCAP_24H:BRD-A48430263-003-11-5:10,BRD-A48430263,pioglitazone,trt_cp,VCAP,10 �M,24 h,1,0,-0.4422288
ATLAS_SIG_B_TOP100,CPD001_MCF7_6H:BRD-K88429204-001-25-2:10,BRD-K88429204,pyrimethamine,trt_cp,MCF7,10 �M,6 h,1,1,-0.44192165
ATLAS_SIG_B_TOP100,CPC003_HA1E_6H:BRD-A17411484-001-05-1:10,BRD-A17411484,carprofen,trt_cp,HA1E,10 �M,6 h,1,1,-0.44174638
ATLAS_SIG_B_TOP100,CPC010_MCF7_6H:BRD-A02990301-003-04-1:10,BRD-A02990301,lofexidine,trt_cp,MCF7,10 �M,6 h,1,0,-0.4416178
ATLAS_SIG_B_TOP100,CPC006_A549_24H:BRD-K11853856-003-01-3:10,BRD-K11853856,PJ-34,trt_cp,A549,10 �M,24 h,1,1,-0.44130147
ATLAS_SIG_B_TOP100,CPC010_MCF7_6H:BRD-K61993165-001-07-3:10,BRD-K61993165,niacin,trt_cp,MCF7,10 �M,6 h,1,1,-0.44112992
ATLAS_SIG_B_TOP100,HOG001_MCF7_24H:BRD-K75532464-001-01-4:1.11,BRD-K75532464,FTI-276,trt_cp,MCF7,1 �M,24 h,1,0,-0.44012222
ATLAS_SIG_B_TOP100,CPC014_MCF7_24H:BRD-K97764662-001-09-0:10,BRD-K97764662,PD-173074,trt_cp,MCF7,10 �M,24 h,1,0,-0.43989602
ATLAS_SIG_B_TOP100,CPC005_A375_24H:BRD-A60197193-001-05-4:10,BRD-A60197193,amisulpride,trt_cp,A375,10 �M,24 h,1,1,-0.439447
ATLAS_SIG_B_TOP100,CPC004_HCC515_6H:BRD-A91452556-001-03-2:10,BRD-A91452556,estradiol-cypionate,trt_cp,HCC515,10 �M,6 h,1,1,-0.43906015
ATLAS_SIG_B_TOP100,CPC004_VCAP_6H:BRD-A69636825-003-03-9:10,BRD-A69636825,diltiazem,trt_cp,VCAP,10 �M,6 h,1,1,-0.43905684
ATLAS_SIG_B_TOP100,CPC004_MCF7_6H:BRD-A29426959-050-07-4:10,BRD-A29426959,carbinoxamine,trt_cp,MCF7,10 �M,6 h,1,0,-0.43786144
ATLAS_SIG_B_TOP100,CPC001_HCC515_6H:BRD-K67277431-002-03-0:10,BRD-K67277431,picotamide,trt_cp,HCC515,10 �M,6 h,1,1,-0.43773696
ATLAS_SIG_B_TOP100,CPC013_MCF7_24H:BRD-K87426499-001-02-2:10,BRD-K87426499,BRD-K87426499,trt_cp,MCF7,10 �M,24 h,1,0,-0.43755382
ATLAS_SIG_B_TOP100,CPC018_A375_6H:BRD-K12244279-001-02-5:10,BRD-K12244279,MEK1-2-inhibitor,trt_cp,A375,10 �M,6 h,1,1,-0.4373687
