dataset_id,source_accession,sample_id,biological_group,resistance_status,treatment,cell_line,patient_id,clone_id,replicate_id,replicate_type,qc_status,qc_reason,organism,biosample_accession,ena_sample_accession,ena_run_accessions,raw_design_text
BIOSTUDIES:E-MTAB-7433,E-MTAB-7433,BT474_ctrl_1,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=dimethyl sulfoxide | Factor Value[dose]=1,UNRESOLVED,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=dimethyl sulfoxide | Factor Value[dose]=1,BT474,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,SAMEA5131022,ERS2915404,ERR2930217,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=dimethyl sulfoxide | Factor Value[dose]=1
BIOSTUDIES:E-MTAB-7433,E-MTAB-7433,BT474_ctrl_2,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=dimethyl sulfoxide | Factor Value[dose]=1,UNRESOLVED,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=dimethyl sulfoxide | Factor Value[dose]=1,BT474,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,SAMEA5131023,ERS2915405,ERR2930218,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=dimethyl sulfoxide | Factor Value[dose]=1
BIOSTUDIES:E-MTAB-7433,E-MTAB-7433,BT474_ctrl_3,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=dimethyl sulfoxide | Factor Value[dose]=1,UNRESOLVED,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=dimethyl sulfoxide | Factor Value[dose]=1,BT474,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,SAMEA5131024,ERS2915406,ERR2930219,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=dimethyl sulfoxide | Factor Value[dose]=1
BIOSTUDIES:E-MTAB-7433,E-MTAB-7433,BT474_kdm5i_1,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=KDM5-inh1 | Factor Value[dose]=1,UNRESOLVED,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=KDM5-inh1 | Factor Value[dose]=1,BT474,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,SAMEA5131025,ERS2915407,ERR2930220,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=KDM5-inh1 | Factor Value[dose]=1
BIOSTUDIES:E-MTAB-7433,E-MTAB-7433,BT474_kdm5i_2,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=KDM5-inh1 | Factor Value[dose]=1,UNRESOLVED,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=KDM5-inh1 | Factor Value[dose]=1,BT474,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,SAMEA5131026,ERS2915408,ERR2930221,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=KDM5-inh1 | Factor Value[dose]=1
BIOSTUDIES:E-MTAB-7433,E-MTAB-7433,BT474_kdm5i_3,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=KDM5-inh1 | Factor Value[dose]=1,UNRESOLVED,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=KDM5-inh1 | Factor Value[dose]=1,BT474,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,SAMEA5131027,ERS2915409,ERR2930222,Characteristics[organism]=Homo sapiens | Characteristics[organism part]=mammary gland | Characteristics[cell type]=epithelial cell | Characteristics[cell line]=BT474 | Characteristics[disease]=ductal carcinoma | Characteristics[phenotype]=HER2 positive | Factor Value[compound]=KDM5-inh1 | Factor Value[dose]=1
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2227,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=24,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=24,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=24
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2228,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=24,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=24,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=24
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2229,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=48,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=48,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=48
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2230,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=48,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=48,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=48
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2231,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=24,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=24,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=24
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2232,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=24,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=24,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=24
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2233,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=48,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=48,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=48
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2234,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=48,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=48,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=48
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2235,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=SKBr3 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=SKBr3 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=20,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=SKBr3 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=SKBr3 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=20,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=SKBr3 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=SKBr3 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=20
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2237,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=SKBr3 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=SKBr3 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=20,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=SKBr3 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=SKBr3 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=20,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=SKBr3 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=SKBr3 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=20
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2239,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=24,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=24,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=24
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2240,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=24,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=24,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=24
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2241,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=48,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=48,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=human immunoglobulin G | Factor Value [TIME]=48
BIOSTUDIES:E-MTAB-965,E-MTAB-965,P2242,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=48,UNRESOLVED,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=48,,,,,,METADATA_ONLY,EBI SDRF imported; phenotype requires ATLAS audit,Homo sapiens,,,,Characteristics [DiseaseState]=breast cancer | Characteristics [CellLine]=BT474 | Characteristics [Organism]=Homo sapiens | Factor Value [CELL_LINE]=BT474 | Factor Value [COMPOUND]=trastuzumab | Factor Value [TIME]=48
